epoch,mean_val_auc
1,0.832000
2,0.814000
3,0.820222
4,0.867333
5,0.897778
6,0.932889
7,0.957500
8,0.963611
9,0.948056
10,0.963611
11,0.976944
12,0.968611
13,0.985185
14,0.966667
15,0.977778
