epoch,mean_val_auc
1,0.819333
2,0.853333
3,0.866444
4,0.906222
5,0.943556
6,0.962889
7,0.974222
8,0.955333
9,0.943333
10,0.960222
11,0.972222
12,0.958000
13,0.951333
14,0.980556
15,0.933333
16,0.911111
17,0.933333
18,0.944444
19,0.944444
20,0.977778
21,0.966667
22,0.933333
23,0.900000
24,0.900000
25,0.900000
26,0.922222
27,0.944444
