epoch,mean_val_auc
1,0.836444
2,0.860222
3,0.881778
4,0.914444
5,0.932222
6,0.939556
7,0.935556
8,0.945778
9,0.938611
10,0.940741
11,0.962963
12,0.970370
13,0.977778
14,0.962963
15,0.950000
16,0.955556
17,0.961111
18,0.988889
