epoch,mean_val_auc
1,0.821778
2,0.820000
3,0.857333
4,0.903111
5,0.934000
6,0.948222
7,0.943333
8,0.955778
9,0.953111
10,0.957333
11,0.972222
12,0.974074
13,0.950000
14,0.961111
15,0.933333
16,0.933333
