epoch,mean_val_auc
1,0.753778
2,0.835556
3,0.866889
4,0.884889
5,0.930444
6,0.943333
7,0.944667
8,0.942889
9,0.955778
10,0.955111
11,0.954000
12,0.972222
13,0.951852
14,0.966667
15,0.961111
16,0.955556
17,0.966667
