epoch,mean_val_auc
1,0.840222
2,0.849111
3,0.872889
4,0.899111
5,0.947556
6,0.942889
7,0.946889
8,0.944444
9,0.938611
10,0.931667
11,0.974074
12,0.966667
13,0.927778
14,0.900000
15,0.911111
16,0.966667
