epoch,mean_val_auc
1,0.778889
2,0.774000
3,0.800222
4,0.832222
5,0.902222
6,0.941556
7,0.952667
8,0.957333
9,0.947333
10,0.953111
11,0.961556
12,0.981481
13,0.966667
14,0.966667
15,0.944444
16,0.888889
17,0.944444
