epoch,mean_val_auc
1,0.814667
2,0.846000
3,0.890889
4,0.921778
5,0.946222
6,0.955556
7,0.953111
8,0.949111
9,0.950444
10,0.975000
11,0.955556
12,0.966667
13,0.981481
14,0.981481
15,0.972222
16,0.966667
17,0.955556
18,0.966667
