epoch,mean_val_auc
1,0.766889
2,0.816889
3,0.842444
4,0.861556
5,0.890222
6,0.934889
7,0.946000
8,0.953111
9,0.949556
10,0.941111
11,0.958333
12,0.963889
13,0.970370
14,0.961111
15,0.933333
16,0.944444
17,0.933333
