epoch,mean_val_auc
1,0.814222
2,0.838444
3,0.897556
4,0.910444
5,0.924667
6,0.946000
7,0.948667
8,0.946000
9,0.946667
10,0.962963
11,0.970370
12,0.970370
13,0.961111
14,0.961111
15,0.955556
16,0.944444
17,0.944444
18,0.933333
19,0.933333
20,0.966667
