group,delta_auc,delta_accuracy,delta_brier
Dynamics(V/A/J),0.2633061383061383,0.2416666666666667,0.2430740965004531
Position(XY),0.0865190365190365,0.08333333333333333,0.0880258370381736
Demographics,0.0,0.0,0.0003580795756292429
PenGeometry,0.009838772338772329,-0.008333333333333349,-0.0026876409040671187
