fold,repeat,feature,feature_type,delta_auc,delta_accuracy,delta_brier
1,1,X,Kinematic,0.006944444444444531,-0.08333333333333337,-0.0024326827317477304
1,1,Y,Kinematic,0.05555555555555569,0.0,0.018562389537091273
1,1,Pressure,Kinematic,0.006944444444444531,-0.04166666666666663,0.003017913336023602
1,1,Azimuth,Kinematic,-0.006944444444444309,-0.04166666666666663,-0.0165030530861206
1,1,Tilt,Kinematic,0.0,-0.04166666666666663,0.0005114484451180998
1,1,PenStatus,Kinematic,0.0,0.0,-0.0003766489936672321
1,1,Vx,Kinematic,-0.006944444444444309,0.0,0.03105101215755053
1,1,Vy,Kinematic,0.0625,0.08333333333333337,0.10452377247524036
1,1,Ax,Kinematic,1.1102230246251565e-16,-0.04166666666666663,0.0010236404505843469
1,1,Ay,Kinematic,-0.01388888888888884,0.0,0.007993540718240301
1,1,Jx,Kinematic,0.0,0.0,0.0023435148626449118
1,1,Jy,Kinematic,-0.01388888888888884,-0.04166666666666663,-0.013726908507550116
1,1,Age,Demographic,0.0,0.0,0.00011926869239563959
1,1,Gender,Demographic,0.0,0.0,-4.67813955399507e-05
1,2,X,Kinematic,0.0,0.0,-0.006703906882005173
1,2,Y,Kinematic,0.13194444444444453,0.0,0.08037817407572989
1,2,Pressure,Kinematic,0.01388888888888895,0.0,0.021814271716996916
1,2,Azimuth,Kinematic,-0.006944444444444309,-0.04166666666666663,-0.012255843617762711
1,2,Tilt,Kinematic,0.01388888888888895,-0.04166666666666663,0.00830695562207983
1,2,PenStatus,Kinematic,0.0,-0.04166666666666663,0.004979801809297829
1,2,Vx,Kinematic,0.05555555555555558,0.125,0.1045465236032769
1,2,Vy,Kinematic,0.16666666666666674,0.16666666666666663,0.17517195661656434
1,2,Ax,Kinematic,-0.01388888888888884,-0.04166666666666663,-0.015769779896986247
1,2,Ay,Kinematic,-0.01388888888888884,0.0,0.01165923629800246
1,2,Jx,Kinematic,0.0,0.0,0.002117258393234185
1,2,Jy,Kinematic,-0.01388888888888884,-0.04166666666666663,-0.013177914536463782
1,2,Age,Demographic,0.0,0.0,-3.8026186724438027e-06
1,2,Gender,Demographic,0.0,0.0,0.0007098203957011939
1,3,X,Kinematic,0.01388888888888895,-0.04166666666666663,0.01115756779132926
